bundle_index,filename,approx_time_sec,mean_absdiff_256
1,01-frame.png,0.0,
2,02-frame.png,0.7,33.11082458496094
3,03-frame.png,1.4,33.04789733886719
4,04-frame.png,2.1,23.792129516601562
5,05-frame.png,2.8,20.548980712890625
6,06-frame.png,3.5,33.35035705566406
7,07-frame.png,4.2,38.65045166015625
8,08-frame.png,4.9,33.71604919433594
9,09-frame.png,5.6,29.726150512695312
10,10-frame.png,6.3,52.359832763671875
11,11-frame.png,7.0,6.1809234619140625
12,12-frame.png,7.7,45.705841064453125
13,13-frame.png,8.4,35.34819030761719
14,14-frame.png,9.1,64.39239501953125
15,15-frame.png,9.8,38.87062072753906
16,16-frame.png,10.5,50.79103088378906
17,17-frame.png,11.2,42.104156494140625
18,18-frame.png,11.9,46.802490234375
19,19-frame.png,12.6,25.366226196289062
20,20-frame.png,13.3,31.399658203125
21,21-frame.png,14.0,31.569381713867188
22,22-frame.png,14.7,33.83894348144531
23,23-frame.png,15.4,47.075836181640625
24,24-frame.png,16.1,39.48503112792969
